rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups,early_or_late_groups
4169,538211,280805,connect,ended,-195.0,530261.0,60.0,time delta > 45 min,early more than 45 min
4173,539300,351319,mobile,ended,-77.0,535020.0,0.0,time delta btw 0 and 45 min,early more than 45 min
4190,540199,312078,connect,ended,-19.0,538207.0,0.0,time delta btw 0 and 45 min,early less than 45 min
4206,541143,387753,connect,ended,-82.0,539236.0,510.0,time delta > 45 min,early more than 45 min
4214,541640,391338,mobile,ended,-28.0,534025.0,60.0,time delta > 45 min,early less than 45 min
4233,542801,345865,connect,ended,-32.0,537406.0,90.0,time delta > 45 min,early less than 45 min
4234,542830,328900,connect,ended,265.0,508109.0,0.0,time delta btw 0 and 45 min,late btw 4 and 6 hours
4237,543115,381914,mobile,ended,7.0,541395.0,300.0,time delta > 45 min,late <= 45 min
4241,543401,215979,mobile,ended,13.0,542150.0,210.0,time delta > 45 min,late <= 45 min
4244,543559,392241,connect,ended,42.0,538768.0,120.0,time delta > 45 min,late <= 45 min
4259,544566,355444,connect,ended,-39.0,541239.0,150.0,time delta > 45 min,early less than 45 min
4267,544979,392479,mobile,ended,183.0,547804.0,120.0,time delta > 45 min,late btw 3 and 4 hours
4272,544947,392368,connect,ended,-42.0,553290.0,720.0,time delta > 45 min,early less than 45 min
4280,545207,407411,mobile,ended,-89.0,532724.0,570.0,time delta > 45 min,early more than 45 min
4290,545618,305525,connect,ended,43.0,543394.0,570.0,time delta > 45 min,late <= 45 min
4299,546532,407632,mobile,ended,6.0,546199.0,720.0,time delta > 45 min,late <= 45 min
4309,547130,411325,mobile,ended,22.0,545629.0,0.0,time delta btw 0 and 45 min,late <= 45 min
4312,547311,374809,connect,ended,7.0,539330.0,90.0,time delta > 45 min,late <= 45 min
4342,549535,401281,connect,ended,-68.0,530729.0,690.0,time delta > 45 min,early more than 45 min
4354,550277,375128,connect,ended,-28.0,549044.0,240.0,time delta > 45 min,early less than 45 min
4360,550566,373889,mobile,ended,70.0,542811.0,120.0,time delta > 45 min,late btw 45 min and 2 hour
4362,550654,357007,mobile,ended,30.0,508605.0,30.0,time delta btw 0 and 45 min,late <= 45 min
4365,551160,383949,mobile,ended,-52.0,545467.0,90.0,time delta > 45 min,early more than 45 min
4375,551987,341840,mobile,ended,68.0,529556.0,150.0,time delta > 45 min,late btw 45 min and 2 hour
4392,541646,364890,mobile,ended,621.0,538703.0,210.0,time delta > 45 min,late btw 6h and 1 day
4394,541751,394928,connect,ended,-47.0,544799.0,600.0,time delta > 45 min,early more than 45 min
4428,543788,377071,mobile,ended,0.0,538874.0,30.0,time delta btw 0 and 45 min,early less than 45 min
4435,544198,263232,mobile,ended,83.0,538218.0,300.0,time delta > 45 min,late btw 45 min and 2 hour
4444,544741,374290,mobile,ended,-36.0,532043.0,180.0,time delta > 45 min,early less than 45 min
4445,545070,398326,mobile,ended,0.0,544957.0,270.0,time delta > 45 min,early less than 45 min
4449,545233,366371,connect,ended,-81.0,517688.0,720.0,time delta > 45 min,early more than 45 min
4460,546056,408509,mobile,ended,72.0,549516.0,120.0,time delta > 45 min,late btw 45 min and 2 hour
4488,548307,404571,mobile,ended,-4.0,532798.0,90.0,time delta > 45 min,early less than 45 min
4503,558441,358225,mobile,ended,4.0,552053.0,0.0,time delta btw 0 and 45 min,late <= 45 min
4535,559976,344254,connect,ended,51.0,558129.0,60.0,time delta > 45 min,late btw 45 min and 2 hour
4552,545594,392479,mobile,ended,22.0,538397.0,570.0,time delta > 45 min,late <= 45 min
4555,545750,393968,connect,ended,-11.0,548306.0,600.0,time delta > 45 min,early less than 45 min
4560,545916,307364,connect,ended,-77.0,545822.0,30.0,time delta btw 0 and 45 min,early more than 45 min
4562,546070,313952,mobile,ended,238.0,569185.0,570.0,time delta > 45 min,late btw 3 and 4 hours
4581,547872,338243,connect,ended,83.0,549555.0,600.0,time delta > 45 min,late btw 45 min and 2 hour
4584,548110,379908,mobile,ended,-52.0,542260.0,720.0,time delta > 45 min,early more than 45 min
4609,545984,305525,connect,ended,-253.0,545963.0,720.0,time delta > 45 min,early more than 45 min
4621,546636,399528,connect,ended,4.0,545268.0,540.0,time delta > 45 min,late <= 45 min
4644,548185,385295,mobile,ended,129.0,538747.0,600.0,time delta > 45 min,late btw 2 and 3 hours
4645,548272,317330,connect,ended,-21.0,548279.0,0.0,time delta btw 0 and 45 min,early less than 45 min
4650,548867,217819,mobile,ended,-134.0,544074.0,270.0,time delta > 45 min,early more than 45 min
4652,548952,356630,mobile,ended,-88.0,523527.0,720.0,time delta > 45 min,early more than 45 min
4676,550479,265239,connect,ended,51.0,520615.0,0.0,time delta btw 0 and 45 min,late btw 45 min and 2 hour
4701,552365,404130,connect,ended,12.0,553206.0,480.0,time delta > 45 min,late <= 45 min
4738,522640,394543,mobile,ended,21.0,546468.0,60.0,time delta > 45 min,late <= 45 min
4759,533456,368432,mobile,ended,-2.0,539640.0,600.0,time delta > 45 min,early less than 45 min
4762,533596,352799,mobile,ended,46.0,538423.0,720.0,time delta > 45 min,late btw 45 min and 2 hour
4785,553302,368432,mobile,ended,-104.0,567818.0,570.0,time delta > 45 min,early more than 45 min
4797,553836,340616,connect,ended,54.0,553933.0,30.0,time delta btw 0 and 45 min,late btw 45 min and 2 hour
4803,554383,159533,connect,ended,41.0,512682.0,330.0,time delta > 45 min,late <= 45 min
4804,554407,310049,mobile,ended,76.0,551523.0,120.0,time delta > 45 min,late btw 45 min and 2 hour
4835,549968,377004,mobile,ended,52.0,550088.0,30.0,time delta btw 0 and 45 min,late btw 45 min and 2 hour
4841,550240,407865,mobile,ended,15.0,550984.0,120.0,time delta > 45 min,late <= 45 min
4852,550994,303309,connect,ended,31.0,549854.0,720.0,time delta > 45 min,late <= 45 min
4859,551565,356673,mobile,ended,176.0,548460.0,60.0,time delta > 45 min,late btw 2 and 3 hours
4863,551667,350149,mobile,ended,272.0,555318.0,150.0,time delta > 45 min,late btw 4 and 6 hours
4871,552075,364038,mobile,ended,0.0,514557.0,30.0,time delta btw 0 and 45 min,early less than 45 min
4873,552116,363280,mobile,ended,4.0,519547.0,540.0,time delta > 45 min,late <= 45 min
4875,552264,376491,connect,ended,-15.0,551892.0,30.0,time delta btw 0 and 45 min,early less than 45 min
4879,552598,376840,connect,ended,10.0,549549.0,540.0,time delta > 45 min,late <= 45 min
4888,553308,368432,mobile,ended,-133.0,562021.0,630.0,time delta > 45 min,early more than 45 min
4897,554174,312622,mobile,ended,11.0,554035.0,60.0,time delta > 45 min,late <= 45 min
4899,554183,362187,connect,ended,-426.0,556500.0,180.0,time delta > 45 min,early more than 45 min
4900,554235,394801,mobile,ended,7.0,559412.0,30.0,time delta btw 0 and 45 min,late <= 45 min
4906,554905,314687,mobile,ended,-28.0,552745.0,60.0,time delta > 45 min,early less than 45 min
4946,549565,390692,mobile,ended,78.0,530304.0,0.0,time delta btw 0 and 45 min,late btw 45 min and 2 hour
4970,551141,372115,mobile,ended,24.0,550285.0,660.0,time delta > 45 min,late <= 45 min
4980,551925,336629,mobile,ended,-21.0,550453.0,0.0,time delta btw 0 and 45 min,early less than 45 min
4983,551997,398886,mobile,ended,205.0,550567.0,60.0,time delta > 45 min,late btw 3 and 4 hours
4987,552303,354138,mobile,ended,-11.0,566927.0,570.0,time delta > 45 min,early less than 45 min
5000,553523,412539,mobile,ended,1489.0,552169.0,480.0,time delta > 45 min,late btw 1 and 2 days
5057,553646,274001,mobile,ended,7.0,539712.0,120.0,time delta > 45 min,late <= 45 min
5086,555143,320834,connect,ended,25.0,564613.0,120.0,time delta > 45 min,late <= 45 min
5088,555258,229646,mobile,ended,79.0,550583.0,450.0,time delta > 45 min,late btw 45 min and 2 hour
5094,555641,368724,mobile,ended,24.0,565544.0,60.0,time delta > 45 min,late <= 45 min
5107,556500,362187,connect,ended,15.0,555592.0,60.0,time delta > 45 min,late <= 45 min
5155,556319,383462,connect,ended,55.0,558174.0,660.0,time delta > 45 min,late btw 45 min and 2 hour
5158,556825,404130,connect,ended,-7.0,551494.0,720.0,time delta > 45 min,early less than 45 min
5168,557619,320438,mobile,ended,17.0,556077.0,150.0,time delta > 45 min,late <= 45 min
5179,558258,357530,connect,ended,2.0,557097.0,690.0,time delta > 45 min,late <= 45 min
5194,559316,414201,mobile,ended,30.0,557671.0,690.0,time delta > 45 min,late <= 45 min
5196,559594,291932,connect,ended,-408.0,556581.0,150.0,time delta > 45 min,early more than 45 min
5199,559739,308181,connect,ended,8.0,564990.0,120.0,time delta > 45 min,late <= 45 min
5200,559788,397599,mobile,ended,54.0,559390.0,630.0,time delta > 45 min,late btw 45 min and 2 hour
5204,559886,347011,mobile,ended,140.0,557366.0,60.0,time delta > 45 min,late btw 2 and 3 hours
5215,560682,305452,mobile,ended,139.0,553996.0,570.0,time delta > 45 min,late btw 2 and 3 hours
5247,563218,397592,mobile,ended,93.0,560585.0,60.0,time delta > 45 min,late btw 45 min and 2 hour
5255,563661,338584,connect,ended,-38.0,567637.0,630.0,time delta > 45 min,early less than 45 min
5265,556970,403644,mobile,ended,45.0,556081.0,30.0,time delta btw 0 and 45 min,late <= 45 min
5268,557344,381994,mobile,ended,53.0,554398.0,60.0,time delta > 45 min,late btw 45 min and 2 hour
5272,557404,181625,connect,ended,-352.0,554077.0,120.0,time delta > 45 min,early more than 45 min
5301,558733,320824,connect,ended,36.0,554117.0,150.0,time delta > 45 min,late <= 45 min
5307,559077,355444,connect,ended,0.0,554528.0,240.0,time delta > 45 min,early less than 45 min
5332,561219,295860,mobile,ended,-5.0,574786.0,60.0,time delta > 45 min,early less than 45 min
5340,562075,403430,mobile,ended,70.0,554144.0,720.0,time delta > 45 min,late btw 45 min and 2 hour
5358,560938,407636,connect,ended,-50.0,555004.0,660.0,time delta > 45 min,early more than 45 min
5370,537360,367365,connect,ended,-370.0,543323.0,630.0,time delta > 45 min,early more than 45 min
5416,554746,334118,mobile,ended,-171.0,548107.0,30.0,time delta btw 0 and 45 min,early more than 45 min
5437,556362,351153,mobile,ended,17.0,554711.0,720.0,time delta > 45 min,late <= 45 min
5486,564691,361789,mobile,ended,-97.0,560638.0,690.0,time delta > 45 min,early more than 45 min
5494,565591,381787,connect,ended,-4.0,572671.0,720.0,time delta > 45 min,early less than 45 min
5507,566264,401475,connect,ended,-55.0,517671.0,660.0,time delta > 45 min,early more than 45 min
5515,566648,383110,connect,ended,-77.0,568065.0,480.0,time delta > 45 min,early more than 45 min
5517,566774,377591,connect,ended,281.0,544588.0,0.0,time delta btw 0 and 45 min,late btw 4 and 6 hours
5525,516961,385721,connect,ended,-32.0,542219.0,0.0,time delta btw 0 and 45 min,early less than 45 min
5528,519713,324640,mobile,ended,-10.0,553902.0,420.0,time delta > 45 min,early less than 45 min
5547,525837,244848,connect,ended,172.0,543686.0,120.0,time delta > 45 min,late btw 2 and 3 hours
5567,534378,402469,mobile,ended,-15.0,540696.0,510.0,time delta > 45 min,early less than 45 min
5574,535209,383540,mobile,ended,3.0,538639.0,330.0,time delta > 45 min,late <= 45 min
5586,558633,336650,connect,ended,19.0,557424.0,0.0,time delta btw 0 and 45 min,late <= 45 min
5587,558702,376840,connect,ended,-164.0,552598.0,690.0,time delta > 45 min,early more than 45 min
5589,558813,403430,mobile,ended,254.0,562075.0,660.0,time delta > 45 min,late btw 4 and 6 hours
5620,561351,385073,mobile,ended,-37.0,560872.0,690.0,time delta > 45 min,early less than 45 min
5631,561935,347464,connect,ended,116.0,566651.0,300.0,time delta > 45 min,late btw 45 min and 2 hour
5634,562071,288973,mobile,ended,-232.0,572580.0,30.0,time delta btw 0 and 45 min,early more than 45 min
5650,563248,385625,connect,ended,6.0,556513.0,0.0,time delta btw 0 and 45 min,late <= 45 min
5686,565877,351319,mobile,ended,-1148.0,561309.0,660.0,time delta > 45 min,early more than 45 min
5701,561947,390927,connect,ended,40.0,537960.0,660.0,time delta > 45 min,late <= 45 min
5704,562199,392479,mobile,ended,77.0,545594.0,720.0,time delta > 45 min,late btw 45 min and 2 hour
5713,562848,272430,connect,ended,-63.0,564600.0,330.0,time delta > 45 min,early more than 45 min
5725,563652,299063,connect,ended,-22.0,561530.0,270.0,time delta > 45 min,early less than 45 min
5732,564127,389565,connect,ended,81.0,565814.0,510.0,time delta > 45 min,late btw 45 min and 2 hour
5740,565171,410939,connect,ended,-15.0,567442.0,240.0,time delta > 45 min,early less than 45 min
5751,568054,293992,mobile,ended,1147.0,562269.0,60.0,time delta > 45 min,late btw 6h and 1 day
5757,568539,375126,connect,ended,139.0,566798.0,630.0,time delta > 45 min,late btw 2 and 3 hours
5759,569145,300505,connect,ended,46.0,560610.0,90.0,time delta > 45 min,late btw 45 min and 2 hour
5766,569445,346305,mobile,ended,-62.0,560681.0,180.0,time delta > 45 min,early more than 45 min
5785,572853,366164,connect,ended,39.0,569272.0,360.0,time delta > 45 min,late <= 45 min
5797,565760,386413,connect,ended,-2.0,550806.0,0.0,time delta btw 0 and 45 min,early less than 45 min
5810,559950,380128,mobile,ended,-68.0,557700.0,360.0,time delta > 45 min,early more than 45 min
5836,561480,364652,connect,ended,-48.0,564545.0,60.0,time delta > 45 min,early more than 45 min
5838,561586,376642,mobile,ended,-53.0,557899.0,630.0,time delta > 45 min,early more than 45 min
5839,561882,356630,mobile,ended,-19.0,563870.0,0.0,time delta btw 0 and 45 min,early less than 45 min
5895,524637,348225,mobile,ended,37.0,550539.0,0.0,time delta btw 0 and 45 min,late <= 45 min
5915,567020,216576,connect,ended,-470.0,563059.0,150.0,time delta > 45 min,early more than 45 min
5936,568119,342699,connect,ended,14.0,563443.0,30.0,time delta btw 0 and 45 min,late <= 45 min
5937,568302,363387,mobile,ended,-56.0,569781.0,450.0,time delta > 45 min,early more than 45 min
5952,515626,324197,mobile,ended,62.0,525338.0,210.0,time delta > 45 min,late btw 45 min and 2 hour
5953,515855,400293,mobile,ended,-83.0,540635.0,570.0,time delta > 45 min,early more than 45 min
5957,517688,366371,connect,ended,-245.0,539108.0,0.0,time delta btw 0 and 45 min,early more than 45 min
5975,525787,372809,connect,ended,10.0,561211.0,600.0,time delta > 45 min,late <= 45 min
5985,529626,324821,connect,ended,66.0,537033.0,720.0,time delta > 45 min,late btw 45 min and 2 hour
5996,532543,397470,mobile,ended,-5.0,537576.0,150.0,time delta > 45 min,early less than 45 min
6028,509463,339189,connect,ended,75.0,527519.0,360.0,time delta > 45 min,late btw 45 min and 2 hour
6032,511425,351146,mobile,ended,26.0,555546.0,90.0,time delta > 45 min,late <= 45 min
6034,513104,396552,mobile,ended,23.0,535313.0,720.0,time delta > 45 min,late <= 45 min
6053,524355,385972,mobile,ended,1.0,548080.0,660.0,time delta > 45 min,late <= 45 min
6113,536038,390702,connect,ended,37.0,554652.0,660.0,time delta > 45 min,late <= 45 min
6119,536509,281116,mobile,ended,-79.0,529888.0,180.0,time delta > 45 min,early more than 45 min
6126,537133,340868,connect,ended,24.0,532994.0,60.0,time delta > 45 min,late <= 45 min
6136,567303,356630,mobile,ended,69.0,561882.0,180.0,time delta > 45 min,late btw 45 min and 2 hour
6150,568361,324821,connect,ended,-8.0,564684.0,90.0,time delta > 45 min,early less than 45 min
6190,576292,181625,connect,ended,9.0,573698.0,90.0,time delta > 45 min,late <= 45 min
6201,512171,395608,mobile,ended,5.0,535039.0,180.0,time delta > 45 min,late <= 45 min
6222,526948,214635,connect,ended,29.0,522667.0,180.0,time delta > 45 min,late <= 45 min
6226,527925,401281,connect,ended,-96.0,535185.0,60.0,time delta > 45 min,early more than 45 min
6262,538657,404146,mobile,ended,-36.0,538335.0,720.0,time delta > 45 min,early less than 45 min
6264,538820,261263,mobile,ended,-35.0,533521.0,180.0,time delta > 45 min,early less than 45 min
6267,539171,372878,mobile,ended,-8.0,543033.0,60.0,time delta > 45 min,early less than 45 min
6301,541178,392635,mobile,ended,86.0,523175.0,0.0,time delta btw 0 and 45 min,late btw 45 min and 2 hour
6315,542245,383255,mobile,ended,451.0,539006.0,240.0,time delta > 45 min,late btw 6h and 1 day
6319,542392,379751,connect,ended,-33.0,541396.0,0.0,time delta btw 0 and 45 min,early less than 45 min
6336,543696,347208,connect,ended,-141.0,538244.0,510.0,time delta > 45 min,early more than 45 min
6340,543791,391153,mobile,ended,310.0,544230.0,720.0,time delta > 45 min,late btw 4 and 6 hours
6344,544030,404771,mobile,ended,72.0,543848.0,120.0,time delta > 45 min,late btw 45 min and 2 hour
6356,544902,387939,connect,ended,32.0,545532.0,510.0,time delta > 45 min,late <= 45 min
6370,545784,404020,mobile,ended,-11.0,543175.0,30.0,time delta btw 0 and 45 min,early less than 45 min
6380,546464,389785,connect,ended,-1.0,550903.0,690.0,time delta > 45 min,early less than 45 min
6384,546557,311923,connect,ended,-470.0,539744.0,240.0,time delta > 45 min,early more than 45 min
6394,547047,337047,mobile,ended,-53.0,544443.0,30.0,time delta btw 0 and 45 min,early more than 45 min
6399,547589,373367,mobile,ended,-3.0,545463.0,60.0,time delta > 45 min,early less than 45 min
6409,547981,372924,mobile,ended,36.0,550415.0,210.0,time delta > 45 min,late <= 45 min
6419,548868,356434,mobile,ended,-4.0,551652.0,0.0,time delta btw 0 and 45 min,early less than 45 min
6429,549430,366071,mobile,ended,-3.0,551575.0,180.0,time delta > 45 min,early less than 45 min
6432,549647,369542,connect,ended,53.0,563235.0,480.0,time delta > 45 min,late btw 45 min and 2 hour
6433,549659,367608,connect,ended,-72.0,548833.0,120.0,time delta > 45 min,early more than 45 min
6457,551308,342067,mobile,ended,42.0,545062.0,0.0,time delta btw 0 and 45 min,late <= 45 min
6467,552074,412682,mobile,ended,71.0,564237.0,240.0,time delta > 45 min,late btw 45 min and 2 hour
6481,553045,407524,mobile,ended,106.0,554266.0,480.0,time delta > 45 min,late btw 45 min and 2 hour
6513,555798,388540,mobile,ended,-33.0,552353.0,30.0,time delta btw 0 and 45 min,early less than 45 min
6548,558379,350769,mobile,ended,-73.0,537483.0,540.0,time delta > 45 min,early more than 45 min
6550,558490,403749,mobile,ended,-59.0,554954.0,60.0,time delta > 45 min,early more than 45 min
6562,559326,412623,mobile,ended,46.0,557439.0,180.0,time delta > 45 min,late btw 45 min and 2 hour
6594,568175,415726,mobile,ended,34.0,567093.0,180.0,time delta > 45 min,late <= 45 min
6597,568573,342699,connect,ended,11.0,568298.0,60.0,time delta > 45 min,late <= 45 min
6624,571892,339138,connect,ended,20.0,571215.0,90.0,time delta > 45 min,late <= 45 min
6632,573065,407084,mobile,ended,-105.0,569017.0,360.0,time delta > 45 min,early more than 45 min
6647,564168,382444,mobile,ended,-86.0,553599.0,90.0,time delta > 45 min,early more than 45 min
6657,564574,375421,connect,ended,34.0,515659.0,330.0,time delta > 45 min,late <= 45 min
6668,565262,333753,mobile,ended,163.0,564522.0,240.0,time delta > 45 min,late btw 2 and 3 hours
6714,565247,406625,connect,ended,0.0,561277.0,0.0,time delta btw 0 and 45 min,early less than 45 min
6720,565672,216148,connect,ended,-111.0,553717.0,150.0,time delta > 45 min,early more than 45 min
6722,565728,374486,mobile,ended,50.0,569229.0,360.0,time delta > 45 min,late btw 45 min and 2 hour
6724,565815,298466,mobile,ended,-40.0,567964.0,150.0,time delta > 45 min,early less than 45 min
6728,565991,407389,mobile,ended,-70.0,567843.0,150.0,time delta > 45 min,early more than 45 min
6735,566349,384657,connect,ended,199.0,561722.0,690.0,time delta > 45 min,late btw 3 and 4 hours
6748,567086,386325,mobile,ended,-181.0,566591.0,720.0,time delta > 45 min,early more than 45 min
6749,567140,402308,mobile,ended,687.0,561807.0,0.0,time delta btw 0 and 45 min,late btw 6h and 1 day
6766,568251,404629,mobile,ended,789.0,565555.0,60.0,time delta > 45 min,late btw 6h and 1 day
6784,570447,396289,mobile,ended,26.0,561080.0,180.0,time delta > 45 min,late <= 45 min
6803,572714,298466,mobile,ended,218.0,565815.0,30.0,time delta btw 0 and 45 min,late btw 3 and 4 hours
6810,574151,241021,connect,ended,3.0,572285.0,720.0,time delta > 45 min,late <= 45 min
6814,574638,414681,mobile,ended,7.0,572181.0,180.0,time delta > 45 min,late <= 45 min
6825,535939,386259,connect,ended,-151.0,538439.0,720.0,time delta > 45 min,early more than 45 min
6842,537063,306601,mobile,ended,44.0,557027.0,420.0,time delta > 45 min,late <= 45 min
6843,537161,376760,connect,ended,-52.0,539557.0,90.0,time delta > 45 min,early more than 45 min
6886,534414,349861,mobile,ended,-130.0,539791.0,690.0,time delta > 45 min,early more than 45 min
6904,533591,377172,mobile,ended,33.0,540059.0,180.0,time delta > 45 min,late <= 45 min
6931,536697,316042,mobile,ended,-4.0,566005.0,0.0,time delta btw 0 and 45 min,early less than 45 min
6952,538252,280227,connect,ended,-12.0,551501.0,660.0,time delta > 45 min,early less than 45 min
6958,538716,356673,mobile,ended,90.0,529144.0,0.0,time delta btw 0 and 45 min,late btw 45 min and 2 hour
6959,538844,365926,connect,ended,-136.0,537243.0,300.0,time delta > 45 min,early more than 45 min
6961,538994,324821,connect,ended,-66.0,529626.0,600.0,time delta > 45 min,early more than 45 min
6991,541046,357005,mobile,ended,226.0,565872.0,420.0,time delta > 45 min,late btw 3 and 4 hours
6994,541155,336886,mobile,ended,39.0,533474.0,30.0,time delta btw 0 and 45 min,late <= 45 min
7005,566177,374741,connect,ended,-49.0,564143.0,690.0,time delta > 45 min,early more than 45 min
7009,566395,414230,mobile,ended,24.0,562156.0,0.0,time delta btw 0 and 45 min,late <= 45 min
7021,566944,327575,mobile,ended,-174.0,553521.0,540.0,time delta > 45 min,early more than 45 min
7022,566973,349894,connect,ended,-592.0,563509.0,60.0,time delta > 45 min,early more than 45 min
7032,540121,401077,mobile,ended,-29.0,534332.0,30.0,time delta btw 0 and 45 min,early less than 45 min
7034,540127,296967,connect,ended,7.0,519682.0,720.0,time delta > 45 min,late <= 45 min
7064,541897,321801,mobile,ended,3.0,539969.0,150.0,time delta > 45 min,late <= 45 min
7084,543736,241021,connect,ended,-361.0,540311.0,30.0,time delta btw 0 and 45 min,early more than 45 min
7102,568143,300781,mobile,ended,126.0,563657.0,0.0,time delta btw 0 and 45 min,late btw 2 and 3 hours
7105,568526,305307,mobile,ended,30.0,554547.0,120.0,time delta > 45 min,late <= 45 min
7120,571394,405433,mobile,ended,107.0,561213.0,300.0,time delta > 45 min,late btw 45 min and 2 hour
7123,571591,415629,mobile,ended,-5.0,565345.0,90.0,time delta > 45 min,early less than 45 min
7132,573622,390479,mobile,ended,5.0,570957.0,120.0,time delta > 45 min,late <= 45 min
7155,535647,317572,connect,ended,-89.0,533793.0,0.0,time delta btw 0 and 45 min,early more than 45 min
7157,535935,367535,mobile,ended,72.0,546067.0,270.0,time delta > 45 min,late btw 45 min and 2 hour
7182,537666,377509,mobile,ended,-65.0,538177.0,240.0,time delta > 45 min,early more than 45 min
7187,538178,392368,connect,ended,1064.0,557772.0,720.0,time delta > 45 min,late btw 6h and 1 day
7206,539758,397599,mobile,ended,138.0,540797.0,0.0,time delta btw 0 and 45 min,late btw 2 and 3 hours
7215,540562,230201,connect,ended,-594.0,539340.0,180.0,time delta > 45 min,early more than 45 min
7236,537029,338584,connect,ended,-43.0,542364.0,0.0,time delta btw 0 and 45 min,early less than 45 min
7257,538756,359641,mobile,ended,-73.0,534964.0,720.0,time delta > 45 min,early more than 45 min
7294,541079,356106,connect,ended,-24.0,531984.0,120.0,time delta > 45 min,early less than 45 min
7323,542962,337219,connect,ended,18.0,537400.0,240.0,time delta > 45 min,late <= 45 min
7328,543343,248300,connect,ended,140.0,564185.0,450.0,time delta > 45 min,late btw 2 and 3 hours
7344,560485,216576,connect,ended,-52.0,567020.0,0.0,time delta btw 0 and 45 min,early more than 45 min
7369,562582,409345,mobile,ended,-31.0,563062.0,30.0,time delta btw 0 and 45 min,early less than 45 min
7405,564869,365926,connect,ended,41.0,565321.0,180.0,time delta > 45 min,late <= 45 min
7417,565646,377127,mobile,ended,45.0,563229.0,240.0,time delta > 45 min,late <= 45 min
7457,542891,325328,connect,ended,-163.0,549523.0,630.0,time delta > 45 min,early more than 45 min
7459,543125,316042,mobile,ended,3.0,542232.0,720.0,time delta > 45 min,late <= 45 min
7463,543525,386259,connect,ended,11.0,541605.0,0.0,time delta btw 0 and 45 min,late <= 45 min
7474,544201,301228,mobile,ended,-6.0,542164.0,540.0,time delta > 45 min,early less than 45 min
7475,544327,317819,mobile,ended,22.0,523988.0,420.0,time delta > 45 min,late <= 45 min
7477,544402,366164,connect,ended,-18.0,554118.0,720.0,time delta > 45 min,early less than 45 min
7478,544611,398802,mobile,ended,349.0,553900.0,690.0,time delta > 45 min,late btw 4 and 6 hours
7483,544791,402562,connect,ended,85.0,554505.0,60.0,time delta > 45 min,late btw 45 min and 2 hour
7553,567623,391519,connect,ended,96.0,562244.0,720.0,time delta > 45 min,late btw 45 min and 2 hour
7556,567765,349655,mobile,ended,165.0,561557.0,0.0,time delta btw 0 and 45 min,late btw 2 and 3 hours
7565,568652,395204,connect,ended,142.0,563518.0,720.0,time delta > 45 min,late btw 2 and 3 hours
7568,568822,386259,connect,ended,-42.0,567288.0,0.0,time delta btw 0 and 45 min,early less than 45 min
7573,569319,415157,mobile,ended,-53.0,563557.0,30.0,time delta btw 0 and 45 min,early more than 45 min
7579,570035,412698,mobile,ended,-67.0,557146.0,60.0,time delta > 45 min,early more than 45 min
7593,571779,385073,mobile,ended,40.0,565610.0,690.0,time delta > 45 min,late <= 45 min
7636,529571,388795,mobile,ended,-1707.0,546969.0,120.0,time delta > 45 min,early more than 45 min
7666,574019,374486,mobile,ended,42.0,565728.0,240.0,time delta > 45 min,late <= 45 min
7669,575497,356190,mobile,ended,702.0,574596.0,30.0,time delta btw 0 and 45 min,late btw 6h and 1 day
7670,575539,294883,mobile,ended,85.0,572492.0,0.0,time delta btw 0 and 45 min,late btw 45 min and 2 hour
7683,513740,338940,mobile,ended,83.0,565837.0,0.0,time delta btw 0 and 45 min,late btw 45 min and 2 hour
7699,519027,298516,connect,ended,-39.0,549626.0,390.0,time delta > 45 min,early less than 45 min
7778,528111,375944,connect,ended,-29.0,534342.0,300.0,time delta > 45 min,early less than 45 min
7793,534012,404774,mobile,ended,32.0,545232.0,300.0,time delta > 45 min,late <= 45 min
7831,537879,392683,connect,ended,-142.0,550313.0,0.0,time delta btw 0 and 45 min,early more than 45 min
7835,538120,392368,connect,ended,-103.0,535637.0,120.0,time delta > 45 min,early more than 45 min
7837,538359,343808,connect,ended,38.0,537176.0,60.0,time delta > 45 min,late <= 45 min
7848,539009,392327,mobile,ended,274.0,521664.0,600.0,time delta > 45 min,late btw 4 and 6 hours
7867,540003,409113,mobile,ended,7.0,540751.0,180.0,time delta > 45 min,late <= 45 min
7903,572285,241021,connect,ended,-101.0,571991.0,30.0,time delta btw 0 and 45 min,early more than 45 min
7914,574537,369648,connect,ended,-389.0,571606.0,120.0,time delta > 45 min,early more than 45 min
7938,545757,388438,mobile,ended,-115.0,546278.0,0.0,time delta btw 0 and 45 min,early more than 45 min
7974,547748,367164,mobile,ended,-347.0,523230.0,600.0,time delta > 45 min,early more than 45 min
7985,544389,385629,connect,ended,23.0,517515.0,0.0,time delta btw 0 and 45 min,late <= 45 min
8002,541605,386259,connect,ended,1.0,535939.0,660.0,time delta > 45 min,late <= 45 min
8016,542163,338243,connect,ended,-18.0,534021.0,90.0,time delta > 45 min,early less than 45 min
8024,542649,248272,mobile,ended,1382.0,542179.0,90.0,time delta > 45 min,late btw 6h and 1 day
8043,544126,402194,mobile,ended,-29.0,514673.0,570.0,time delta > 45 min,early less than 45 min
8055,544994,333107,mobile,ended,45.0,540939.0,180.0,time delta > 45 min,late <= 45 min
