rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups,early_or_late_groups
1000,527226,321582,mobile,ended,97.0,536220.0,270.0,time delta > 45 min,late btw 45 min and 2 hour
1008,529301,320824,connect,ended,-308.0,551094.0,540.0,time delta > 45 min,early more than 45 min
1067,537841,265664,connect,ended,186.0,536761.0,240.0,time delta > 45 min,late btw 3 and 4 hours
1114,539618,297119,mobile,ended,101.0,538807.0,30.0,time delta btw 0 and 45 min,late btw 45 min and 2 hour
1126,540222,360474,connect,ended,71.0,539404.0,180.0,time delta > 45 min,late btw 45 min and 2 hour
1132,540924,374809,connect,ended,2.0,547311.0,240.0,time delta > 45 min,late <= 45 min
1133,540942,325695,mobile,ended,2.0,536685.0,600.0,time delta > 45 min,late <= 45 min
1143,541535,385642,mobile,ended,-21.0,543878.0,630.0,time delta > 45 min,early less than 45 min
1160,542401,410393,mobile,ended,7.0,541971.0,180.0,time delta > 45 min,late <= 45 min
1161,542519,356106,connect,ended,27.0,545322.0,270.0,time delta > 45 min,late <= 45 min
1175,543625,366071,mobile,ended,2.0,538192.0,720.0,time delta > 45 min,late <= 45 min
1188,544473,378931,mobile,ended,-4.0,536978.0,60.0,time delta > 45 min,early less than 45 min
1214,539328,333407,mobile,ended,-107.0,540590.0,90.0,time delta > 45 min,early more than 45 min
1221,539760,216148,connect,ended,194.0,537416.0,0.0,time delta btw 0 and 45 min,late btw 3 and 4 hours
1230,540108,392813,mobile,ended,840.0,540368.0,120.0,time delta > 45 min,late btw 6h and 1 day
1269,543010,374169,connect,ended,42.0,536789.0,120.0,time delta > 45 min,late <= 45 min
1273,543108,376574,mobile,ended,23.0,514474.0,0.0,time delta btw 0 and 45 min,late <= 45 min
1279,543513,404130,connect,ended,-82.0,541766.0,0.0,time delta btw 0 and 45 min,early more than 45 min
1285,543822,362101,mobile,ended,-7.0,511338.0,30.0,time delta btw 0 and 45 min,early less than 45 min
1286,543866,406999,mobile,ended,14.0,541317.0,150.0,time delta > 45 min,late <= 45 min
1300,544792,214635,connect,ended,40.0,545831.0,90.0,time delta > 45 min,late <= 45 min
1310,545204,409750,mobile,ended,-50.0,544363.0,660.0,time delta > 45 min,early more than 45 min
1327,539987,383110,connect,ended,76.0,528385.0,480.0,time delta > 45 min,late btw 45 min and 2 hour
1342,540747,214635,connect,ended,-972.0,546332.0,60.0,time delta > 45 min,early more than 45 min
1345,540885,294883,mobile,ended,18.0,542526.0,0.0,time delta btw 0 and 45 min,late <= 45 min
1346,540892,402677,mobile,ended,205.0,540131.0,60.0,time delta > 45 min,late btw 3 and 4 hours
1350,541445,385629,connect,ended,-221.0,544389.0,480.0,time delta > 45 min,early more than 45 min
1356,541756,229646,mobile,ended,205.0,528516.0,60.0,time delta > 45 min,late btw 3 and 4 hours
1372,542399,400945,mobile,ended,-144.0,535665.0,60.0,time delta > 45 min,early more than 45 min
1386,543359,380813,mobile,ended,594.0,537074.0,0.0,time delta btw 0 and 45 min,late btw 6h and 1 day
1401,544373,344254,connect,ended,-77.0,549312.0,690.0,time delta > 45 min,early more than 45 min
1413,545152,392479,mobile,ended,-48.0,539624.0,510.0,time delta > 45 min,early more than 45 min
1414,545177,390509,connect,ended,72.0,542725.0,720.0,time delta > 45 min,late btw 45 min and 2 hour
