rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups,late_groups
73,543150,410052,mobile,ended,23.0,,,time delta > 2 hours,late <= 1 hour
74,543180,350521,mobile,ended,14.0,,,time delta > 2 hours,late <= 1 hour
75,543186,395671,mobile,ended,5.0,,,time delta > 2 hours,late <= 1 hour
76,543243,344149,mobile,ended,300.0,,,time delta > 2 hours,late btw 4 and 6 hours
77,543287,377312,mobile,ended,12.0,,,time delta > 2 hours,late <= 1 hour
78,543321,371572,connect,ended,48.0,,,time delta > 2 hours,late <= 1 hour
79,543464,399161,mobile,ended,670.0,,,time delta > 2 hours,late btw 6h and 1 day
80,543679,225795,connect,ended,64.0,540663.0,540.0,time delta > 2 hours,late btw 1 and 2 hours
81,543681,368432,mobile,ended,2.0,,,time delta > 2 hours,late <= 1 hour
82,543761,294189,mobile,ended,24.0,,,time delta > 2 hours,late <= 1 hour
83,543780,319708,mobile,ended,55.0,,,time delta > 2 hours,late <= 1 hour
84,543808,369230,mobile,ended,75.0,536315.0,60.0,time delta btw 0 and 2 hours,late btw 1 and 2 hours
85,544167,306607,connect,ended,337.0,,,time delta > 2 hours,late btw 4 and 6 hours
86,544197,387939,connect,ended,39.0,,,time delta > 2 hours,late <= 1 hour
87,544443,337047,mobile,ended,56.0,,,time delta > 2 hours,late <= 1 hour
88,544586,312389,mobile,ended,31.0,,,time delta > 2 hours,late <= 1 hour
89,544763,394781,mobile,ended,233.0,,,time delta > 2 hours,late btw 3 and 4 hours
90,544777,387810,connect,ended,50.0,,,time delta > 2 hours,late <= 1 hour
91,544937,348400,mobile,ended,108.0,,,time delta > 2 hours,late btw 1 and 2 hours
92,544967,373545,mobile,ended,56.0,,,time delta > 2 hours,late <= 1 hour
93,545064,194343,connect,ended,74.0,,,time delta > 2 hours,late btw 1 and 2 hours
94,545171,292910,mobile,ended,7.0,,,time delta > 2 hours,late <= 1 hour
95,545214,363658,mobile,ended,302.0,,,time delta > 2 hours,late btw 4 and 6 hours
96,545319,353251,mobile,ended,93.0,,,time delta > 2 hours,late btw 1 and 2 hours
97,545320,224133,mobile,ended,20.0,,,time delta > 2 hours,late <= 1 hour
98,545741,409096,mobile,ended,20.0,,,time delta > 2 hours,late <= 1 hour
99,545763,366310,mobile,ended,69.0,,,time delta > 2 hours,late btw 1 and 2 hours
100,546024,381038,mobile,ended,163.0,,,time delta > 2 hours,late btw 2 and 3 hours
101,546169,409274,mobile,ended,10.0,,,time delta > 2 hours,late <= 1 hour
102,546477,383309,mobile,ended,16.0,548486.0,660.0,time delta > 2 hours,late <= 1 hour
103,546484,409391,mobile,ended,92.0,,,time delta > 2 hours,late btw 1 and 2 hours
104,546564,392732,mobile,ended,7.0,,,time delta > 2 hours,late <= 1 hour
105,546822,394781,mobile,ended,30.0,,,time delta > 2 hours,late <= 1 hour
106,546865,399535,mobile,ended,261.0,,,time delta > 2 hours,late btw 4 and 6 hours
107,546888,295783,connect,ended,84.0,,,time delta > 2 hours,late btw 1 and 2 hours
108,546935,348526,connect,ended,85.0,,,time delta > 2 hours,late btw 1 and 2 hours
109,546938,410452,mobile,ended,10.0,,,time delta > 2 hours,late <= 1 hour
110,546991,377219,connect,ended,423.0,,,time delta > 2 hours,late btw 6h and 1 day
111,547033,276276,mobile,ended,500.0,,,time delta > 2 hours,late btw 6h and 1 day
112,547160,409344,mobile,ended,1.0,,,time delta > 2 hours,late <= 1 hour
