rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups
97,539071,388231,mobile,ended,-35.0,,,time delta > 2 hours
98,539196,347612,mobile,ended,66.0,,,time delta > 2 hours
99,539262,359046,mobile,ended,32.0,,,time delta > 2 hours
100,539369,390467,connect,ended,41.0,,,time delta > 2 hours
101,539396,388032,mobile,ended,3.0,,,time delta > 2 hours
102,539451,355444,connect,ended,-536.0,,,time delta > 2 hours
103,539688,369483,mobile,ended,216.0,,,time delta > 2 hours
104,539865,277766,mobile,ended,28.0,,,time delta > 2 hours
105,539923,247971,mobile,ended,-51.0,,,time delta > 2 hours
106,539995,258837,mobile,ended,93.0,,,time delta > 2 hours
107,540018,245480,mobile,ended,-196.0,,,time delta > 2 hours
108,540190,365531,mobile,ended,9.0,,,time delta > 2 hours
109,540217,398802,mobile,ended,-988.0,543426.0,720.0,time delta > 2 hours
110,540298,202057,mobile,ended,-6.0,,,time delta > 2 hours
111,540330,362860,mobile,ended,-18.0,,,time delta > 2 hours
112,540369,341086,mobile,ended,-62.0,,,time delta > 2 hours
113,540434,402505,mobile,ended,210.0,,,time delta > 2 hours
114,540479,374684,mobile,ended,12.0,539751.0,0.0,time delta btw 0 and 2 hours
115,540553,303506,mobile,ended,-24.0,,,time delta > 2 hours
116,540633,396732,mobile,ended,-5.0,,,time delta > 2 hours
117,540649,352528,connect,ended,90.0,,,time delta > 2 hours
118,540733,393558,mobile,ended,15422.0,,,time delta > 2 hours
119,540735,314897,mobile,ended,-14.0,,,time delta > 2 hours
120,540966,405906,mobile,ended,11.0,,,time delta > 2 hours
121,541014,321607,mobile,ended,-7.0,,,time delta > 2 hours
122,541060,280562,mobile,ended,146.0,,,time delta > 2 hours
123,541174,284552,mobile,ended,-25.0,,,time delta > 2 hours
124,541372,387559,mobile,ended,13.0,,,time delta > 2 hours
125,541444,397413,mobile,ended,901.0,,,time delta > 2 hours
126,541784,408830,mobile,ended,52.0,,,time delta > 2 hours
127,541862,382364,mobile,ended,125.0,540607.0,0.0,time delta btw 0 and 2 hours
128,541948,321674,mobile,ended,165.0,,,time delta > 2 hours
129,541991,329496,mobile,ended,-25.0,,,time delta > 2 hours
130,542149,371368,mobile,ended,83.0,,,time delta > 2 hours
